"","MMRS12272136ST-27-0-0","MMRS14379078ST-27-0-0","MMRS14602194ST-27-0-0","MMRS15137911ST-27-0-0","MMRS16644320ST-27-0-0","MMRS18295921ST-27-0-0","MMRS24340226ST-27-0-0","MMRS25641480ST-27-0-0","MMRS31306426ST-27-0-0","MMRS34525504ST-27-0-0","MMRS41266697ST-27-0-0","MMRS41711735ST-27-0-0","MMRS42780924ST-27-0-0","MMRS43563715ST-27-0-0","MMRS43939546ST-27-0-0","MMRS44197125ST-27-0-0","MMRS44203591ST-27-0-0","MMRS44587603ST-27-0-0","MMRS47662059ST-27-0-0","MMRS47685461ST-27-0-0","MMRS51410669ST-27-0-0","MMRS51728985ST-27-0-0","MMRS54316675ST-27-0-0","MMRS55294627ST-27-0-0","MMRS59699117ST-27-0-0","MMRS62376181ST-27-0-0","MMRS64281211ST-27-0-0","MMRS65205033ST-27-0-0","MMRS65945127ST-27-0-0","MMRS67247116ST-27-0-0","MMRS68910755ST-27-0-0","MMRS71762412ST-27-0-0","MMRS72802364ST-27-0-0","MMRS72980899ST-27-0-0","MMRS77018926ST-27-0-0","MMRS77321055ST-27-0-0","MMRS77487595ST-27-0-0","MMRS78791111ST-27-0-0","MMRS80093644ST-27-0-0","MMRS81194191ST-27-0-0","MMRS81671217ST-27-0-0","MMRS84954772ST-27-0-0","MMRS85382779ST-27-0-0","MMRS86178473ST-27-0-0","MMRS86958796ST-27-0-0","MMRS90191266ST-27-0-0","MMRS92544445ST-27-0-0","MMRS93508324ST-27-0-0","MMRS96422329ST-27-0-0","MMRS97052561ST-27-0-0","MMRS97327636ST-27-0-0","MMRS99045180ST-27-0-0"
"Hungatella hathewayi",0.0011,0.00287,0.01446,0.24742,0,0,0.03145,0.01959,0,9e-04,0.00869,0.09813,0.00589,0.01265,0.03098,0.01518,0.0408,0,0,0.08428,0,0,0,0.01081,0.0711,0.05075,0.00134,0,0.21028,0,0.12444,0.00181,0.02998,0.02073,0,0.00335,0,0.0316,0.09639,0.10061,0,0.04226,0,0.02362,0.00516,0.00105,0.0047,0.00238,0.02233,0.0065,0.04021,0.00017
"Butyrivibrio crossotus",0,0,0,0,0.00287,0,0,0.00319,0,0,0,0,0.00223,0,0,0,0,0,0.17774,0,7.59953,0,0,0,0,0,0,0,0.03416,0,0,0,0,0.00655,0,6e-04,32.98487,0,0,0,0,0,11.64571,0.00081,0,0,0,0,0,0.00383,0,0
"Bacteroides stercoris",6.51714,0,0.00054,0,11.55953,0.34553,0.00383,1.62896,16.10831,0.24793,0.00363,0,48.81086,0.00168,0.00263,0.86852,0.01546,0.93195,0.55988,0.00124,0.6109,0,0.22462,0,0,10.33013,0.00688,1.44153,0.00583,0,9.73836,0.007,0,15.00652,0.68662,0.00393,0,1.91048,2.05512,5.57708,0.50011,0.00466,0,0.00444,0.337,4.47226,0,0,0.00198,0.00223,0,0
"Phocaeicola massiliensis",0.47609,0,0,0,0.6391,0.58721,0,0.01628,1.88192,0,0,0,1.08294,0,0,1.38439,0,0,0.0193,0,0.94122,0,0.72444,2.11987,0,2.8016,0.00035,0,0,0.96483,0,0,0.50319,0,0,0.00043,0.49737,0.38054,0.01255,0,0.86711,0,0,0,0.00497,0.42598,0.64263,2.07471,0,0.00101,0,0
"Prevotella sp. CAG:1031",0.10914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprococcus eutactus",4.49638,0,0,0,0,0.19423,0,0,0,1.63738,0,0,0,0.00219,4e-04,0,0,4.34077,0.05894,0,0,0,1.97383,0,0.00039,0,0,3.92972,0,0,0.0215,0,0,0.00383,0,0,0.14578,0,0.02849,0,0,0,0,0.01613,0,11.46171,0,3.90171,0,0,0,0
"Coprococcus comes",0.48708,0.38308,0.83767,1.03411,0.68363,0.37838,1.28213,0,0.00069,0.21402,0.65853,0,0.57609,0,1.33298,0,0.01172,0.63397,0.32578,0,0.36583,0,0.79193,0.35862,0,0.15776,0,0.16162,0.2163,0,0.00014,0.64165,0.70113,0,0.19206,0.81964,0.2751,1.78995,0.96483,0.51227,0.85403,0.51739,0.7249,0.84875,1.89766,0.59147,0,0.32013,0.5101,0.38858,0.59581,1.11398
"Eubacterium sp. CAG:251",0,0,0,0,0,0,0,0,0,0.85196,0,0.1981,0,0,0,0,0.00736,0,0,0,0,0,0,0,0,0,0,0.28482,0,0,0,0,3.42721,0,0,0,0,0,0.0034,0,0,0,1.2205,0,2.00157,0,0,0.24832,0.81793,0,0,0
"[Ruminococcus] torques",1.3166,0.81146,0.00097,1.68076,1.22155,2.43513,0,0.50484,0.00694,1.67731,0,0,3.92949,0,2.96325,0.00137,1.29575,1.51729,0.17805,0,0.39277,0,1.9491,1.1632,0,0.83367,0,0.7524,0,0.42401,0,0.28229,6.42168,4.1843,1.45146,1.76641,0.05997,0.00145,3.86995,0,7.39867,1.18173,0.85486,0,1.12519,1.39227,0.00026,5.91441,0.59265,0.75219,7.24519,0
"Dialister succinatiphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:167",0.17415,0,0.30321,0,0,0,0,0,0,0,0,0,0,0.39343,0,0.00764,0,0,0.00069,0,0.02548,0,0,0.01614,0,0,0,0,0,0.30947,0,0,0,0,0.01262,0.24297,0,0,0,0,0,0,0,0.26764,0,0,0,0,0,0,0,0
"Eubacterium ramulus",0,0.16518,0,0.03931,0.02503,0.10819,0,0.26904,0.03573,0.01705,0,0,0.03733,0,0.47032,0,0,0.1795,0.07442,0,0.03662,0,0.01458,0.05273,0.23418,0.14438,0.0285,0.0128,0,0.08887,0,0.01524,0,0,0.0711,0.14266,0.14792,0,0.00106,0,0.25272,0.17137,0.10943,0.04194,0,0.0353,0.01981,0.15729,0.09519,0.07897,0.49872,0
"Sanguibacteroides justesenii",0.0289,0,0,0,0,0.02513,0,0,0.0246,0,0,0,0.02343,0,0,0,0,0.0178,0.06422,0,0.01632,0,0.09321,0.13807,0,0,0,0,0,0,0,0,0,0,0.00463,0,0,0,0,0,0.00628,0,0.02292,0,0,0,0,0.07299,0,0,0,0
"Bacteroides sp. CAG:144",0.26342,0,0,0,0,0,0,0,0,0,0,0,0.26569,0,0,0,0.00593,0,0.18958,0,0.18139,0,0,0,0,0,0,0.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium sp. CAG:274",0,0,0,0,0.06991,0.00425,0,0,0,0,0,0,0.01406,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0.03057,0,0,0,0,0,0,0.36095,0,0,0,0,0.57257,0,0,0.21837,0.22999,0,0,0.23637,0,0,0
"Clostridium disporicum",0,0,0,0,0.0016,0,0.01204,0,0,0,0,0,0,0,0,0,0,0,0.22731,0,0.04445,0,0.00037,0,0,0,0,0,0,0,0,0,0.09295,0,0,0.03959,0,0,0.00804,0,0,0,0.14378,0.02075,0,8e-04,0.00307,0,0,0,0,0
"Clostridium sp. CAG:242",0,0,0,0,0.20218,0,0,0,0,0,0.15969,0,0.02722,0,0.15191,0,0,0,0.13543,0,0.0285,0,0,0,0,0,0,0,0,0.14161,0,0,0.01378,0,0,0,0,0,0,0,0,0,0.01124,1.18823,0,0,0,0,0,0.18282,1.15252,0
"Holdemanella biformis",0,0.15507,0,0,0,0,0,0.18128,0,0.91802,0,0,0.16798,0,0,0,0,0.01489,0.13106,0,0,0,0.07044,0.88513,0,0.06952,0,0,0,1.67807,0,0.02546,3.36468,0,0.0108,0.21021,0.38388,0.70211,1.84666,0.03228,1.1056,0.87666,0.17384,0,0.00889,0.09283,0,0.07731,0,0,4.90279,0
"Ruminococcus callidus",0,0,0,0,0.10079,0,0,0,0,0,0,0,0,0,0.37749,0.02297,0,0.25256,0.0021,0,0,0,0,0,0,0,0,0.00582,0,0.04374,0,0,0,0,0,0,0.00275,0,0,0,0,0,0,0,0.06307,0.08426,0.00486,0,0,0,0,0
"Methanobrevibacter smithii",0.00221,0,0.00058,3.39812,0,0,0,4.64882,0,0.18862,0,0,0,0.05547,0,0,0,0,0.4861,0,0.2375,0,1.21133,0,0,0,0,0.00858,0,0.00142,0,0.90192,0.00794,1.12226,0.02557,0.00592,1.52852,0,19.18022,0,0.03643,0.21921,0,0,0,0.50711,0,0.30245,0,0.41988,2.6477,0
"Clostridium sp. CAG:299",0,0.06485,0,0.24025,0,0.01423,0,0,0,0,0.14123,0,0,0,0,0,0,0,0,0,0.01303,0,0,0,0,0,1.08574,0,0,0,0,0.1736,0.01189,0,0,0.1507,0,0,0,0,0,0,0,0,0.00187,0,0,0,0,0,0,0
"Faecalitalea cylindroides",0.00165,0,0,4.41576,0,0.08297,0.08025,0,0.06178,0.02377,0,0,0.05378,0,0,0,0,0,0,0,0.87021,0,0.07419,0.02996,0,0,0,0,0,0.04971,0,0.00904,0,0,0,0,0,0,2.30203,0,0,0,0,0,0,1.11352,0,0,0,0,0,0
"Alistipes inops",0.09359,0,0,0,0,0.22141,0,0,0,0,0,0,0.0071,0.1621,0.05152,0,0.01775,0,0,0,0.23219,0,0.07276,0,0,0,0,0,0,0.05996,0.28041,0.41205,0,0,0,0,0,0.40071,0,0,0.12914,0,0,0,1.33385,0.83591,0,0.40879,0,0.20314,0,0
"Ruminococcus obeum CAG:39",0,0,0,0,0,0.01006,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium] spiroforme",0.06914,0,0,0,0,0,0.03373,0,0,0,0.0024,0,0.01286,0,0.09549,0.71329,0.04399,0,0.01713,0,0.05034,0,0,0,0,0,0.0387,0,0.02162,0,0,0,0,0,0,0.12878,0,0.03574,0.00101,0,0.03839,0,0.01361,0.00392,0.07922,0.03762,0,0,0.0107,0.00747,0.13404,0
"Anaerotruncus sp. CAG:528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amedibacillus dolichus",0,0,0,0,0,0,0.02272,0,0.03201,0,0,0,0.50237,0,1.00097,0,0.04012,0,0,0,0,0,0,0,0,0.09219,0.52202,0,0,0,0,0,0.00507,0,0,0,0,0,0,0,0,0,0.00273,0.00348,0,0,0,0,0,0,0,0.1782
"Eubacterium dolichum CAG:375",0,0,0,0,0,0,0.01786,0,0.0353,0,0.00114,0,0.49148,0,0.92131,0,0.0253,0,0,0,0,0,0,0,0,0.08918,0.4616,0,0,0,0,0,0.00456,0,0,0,0,0,0,0,0,0,0.00224,0.00245,0,0,0,0,0,0,0,0.1759
"Roseburia sp. CAG:309",0,0,0.44908,0,0,0.01483,0,0,0,0,0,0,0,0,0,0,0,0,0.03865,0,0.00327,0,0.00422,0.02051,0,0,0,0.01764,0,0,0,0,0,0,9e-04,0.09078,0,0.08153,0,0,0,0,0.01056,0,0,0,0,0.02021,0.15078,0,0,0
"Streptococcus oralis",0,0.01538,0,0.28375,0,0.08823,0.01404,0,0,0.01183,0,0.03336,0.00149,0.00176,0.00345,0,0,0.01261,0,0,0,0.19536,0.29472,0.02581,0,0.02724,0,0.58428,0,0,0.001,0,0,0.06759,0,0.00445,0,0,0,0,0,0,0.0015,0.0088,0.01377,0.00115,0,0.04795,0,0,0,0
"Klebsiella michiganensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus australis",0,0,0.00572,0,0,0,0,0,0.00775,0,0,0.01053,0,0.00268,0.00044,0,0,0.03237,0,0,0,0,0,0,0,0,0,0.01008,0,0,0,0,0,0,0,0,0,0,0.01881,0,0,0,0,0.02701,0,0,0,0,0.00058,0,0,0
"Klebsiella pneumoniae",0,0,0,0,0,0,0,0,0,0,0.42798,0,0,0,0,0,0.00872,1.2867,11.40702,0,0,0,0,0.13376,0,0,0,0,0.00373,0,0,0,0.01648,0,0,0,0,0,0,0,0,0,0,0.0097,0.0543,0,3.14909,0,0,0,0,0
"Gemella haemolysans",0,0,0,0.00549,0,0.00432,0,0,0.00121,0,0,0,0.00412,0,0.00087,0.00294,0,0,0,0,0,0,0,0,0,0,0,0.01364,0,0,0,0,0,0.00593,0,0,0,0,0,0,0,0.00174,0,0.00291,0,0,0,0.00343,0.00109,0.01584,0.00304,0
"Streptococcus infantis",0,0.00144,0,0,0,0.01166,0.00076,0,0.00728,0,0,0,0.00067,0,0,0,0,0.0058,0,0,0,0.14016,0,0,0,0.00798,0,0.02106,0,0,0,0,0,0.0091,0,0,0,0.0024,0.01069,0,0.00101,0,0,0.00514,0.00327,0,0,0,0,0,0,0
"Blautia hydrogenotrophica",0,0,0,0,0.00097,0,0,0.06042,0.04282,0,0,0,0.00344,0.01103,0,0.27888,0,0.00177,0,0,0,0,0,0.04185,0.00636,0,0,0,0,0.00283,0.00308,0.00023,0,0,0,0,0,0,0,0.00101,0,0,0,0,0,0.00173,0.04209,0,0.00262,0.00667,0,0
"Harryflintia acetispora",0,0,0.0099,0.06116,0,0,0.00538,0.01758,0,0.00276,0,0,0,0,0,0,0,0,0,0.00781,0,0,0.00076,0.00482,0,0,0,0,0,0.00124,0.00834,0.03239,0,0.01441,0.03905,0,0.01978,0.00363,0.01556,0,0,0.00556,0,0,0,0,0.00475,0,0.00778,0.00199,0.01064,0
"Roseburia sp. CAG:182",0.00708,0,0,0,0.26726,0.00729,0,0,0,0.00238,0,0,0,0,0,0,0,0,0,0.04399,0.08704,0,0,0,0.25857,0,0,0,0,0,0,0.4211,0,0,0.04329,0,0,0,0,0,7e-04,0,0.57741,0,0,0.04887,4e-04,0,0,0,0,0
"Actinomyces sp. ICM47",0,0.00914,0,0,0,0.00693,0,0,0,0,0,0,0.0027,0.00269,0.00794,0,0,0.00133,0.00112,0,0,0.30414,0,0,0,0.00423,0,0.00977,0,0,0,0,0,0,0,0,0,0.00115,0,0,0,0,0,0,0.00229,0,0,0,0,0,0,0
"Dielma fastidiosa",0.01479,0,0.00871,0,0.01355,0,0,0.07052,0.00082,0,0,0.00556,0.03125,0.00922,0.21176,0,0.002,0,0.00053,0,0,0,0,0.00315,0,0,0.02947,0,0,0,0.0224,0.03781,0.03324,0.09843,0,0.00652,0,0.00684,0.05717,0.0046,0,0.0364,0.01518,0,0,0,0.01144,0.00043,0.00825,0.0059,0,0
"Streptococcus sp. A12",0,0.00293,0.00103,0,0,0,0,0,0,0,0,0,0,0,9e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029,0,0,0,0,0,0.00704,0,0,0,0,0.00119,0,0,0
"Lactococcus lactis",0.02609,0.02569,0,0.1657,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.00985,0,0,0,0,0,0,0,0,0,0.00471,0,0,0,0,0.00094,0,0,0,0,0,0.00089,0,0.03294,0.00813,0,0,0,0,0,0.001,0
"[Eubacterium] sulci",0,0,0,0.00332,0,0.00424,0,0,0,0,0,0,0.00602,0,0.00997,0,0,0,0.00744,0,0,0,0.00035,0,0,0.00363,0,0.01308,0,0,0,0,0,0.00648,0,0,0,0,0.02107,0,0.00472,0,0,0,0,0,0,0,0,0.00255,0,0
"Schaalia odontolytica",0.00013,0.0031,0.00191,0.01668,0,0.00872,0.00278,0,0,0,0.00181,0,0.0029,0.00501,9e-04,0.00209,0,0.00775,0,0,0,0,0.00173,0,0,0.00139,0,0.01477,0.00101,0,0,0,0,0.00393,0,0.00147,0,0,0.01026,0,0.00256,0,0,0.00661,0,0,0.00125,0,0.00468,0.00697,0,0
"Roseburia sp. CAG:471",0.25713,0.00229,0,0,0.00139,0.06548,0,0,0,0.00273,0,0,0.38294,0.00065,0,0,0.00881,0.02758,0.00094,0,0,0,0.00255,0,0,0.00141,0,0,0,0,0,0.00078,0.06926,0,0,0,0.00169,0,0,0.55572,0.38409,0.00315,0.00296,0,0.50142,0.00064,0,0.22063,0.00235,0.00213,0,0
"Fretibacterium fastidiosum",0.00276,0,0,0,0,0,0,0,0,0,0.00077,0,0,0,0,0.00116,0,0,0,0,0.00072,0,0,0.00135,0,0,0,0,0,0,0,0.00113,0,0,0,0.00228,0,0,0,0.08449,0,0,0,0,0,0,0,0,0.00089,0,0,0
"Streptococcus mitis",0,0,0,0.00508,0,0.014,0.00442,0.00044,0.00398,0,0,0,0.0061,0.00321,0.0012,0,0,0.01283,0.00261,0,0,0.08996,0,0,0,0.04714,0,0.06521,0,0,0.00318,0,0,0.02418,0,0.00606,0,0,0.01058,0,0.00064,0,0,0.01633,0.0035,0.00376,0,0.01551,0.00171,0.00328,0,0
"Enterocloster asparagiformis",0.01309,0,0,0.00933,0.002,0.0045,0,0.00701,0.07873,0,0,0,0,0,0,0.0145,0,0,0,0.00544,0.00478,0,0,0.03538,0.19924,0.0066,0,0,0,0.01033,0,0.03028,0.05618,0.04327,0,0,0,0,0.24463,0,0,0,0.01061,0,0.05278,0,0.04356,0.00721,0,0.02287,0.11772,0
"Mogibacterium diversum",0,0.00282,0.00155,0.00286,0,0.00746,0,0,0,0,0.00212,0,0.00317,0.00334,0.00794,0.00352,0,0.00032,0.00082,0.00062,0,0,0,0,0,0.01255,0,0.04812,0.00962,0,0,0.0038,0,0.0334,0,0.00173,0,0.00116,0.03973,0,0.00581,0,0,0.00537,0,0,0.0035,0,0,0.01234,0,0
"Actinomyces sp. HMSC035G02",0.00124,0.00078,0,0.00433,0,0.02081,0,0,0,0,0,0,0.00072,0.00113,0,0,0,0.01483,0,0,0,0,0.00017,0,0,0,0,0.018,0,0,0,0,0,0.00058,0,0,0,0,0.00551,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium faecium",0.00371,0.95122,0,0.53824,0.12802,0,0,0,0.75831,0,0.01471,0.06786,1.93057,0.17525,1.06935,0,0.4717,0,0.02708,1.15722,0,0,0,0.43608,0.47079,0,1.23346,0,0,0,0.00044,0,0,0.61095,1.88147,0,0,0.00331,0,0,0,1.09969,0.24487,0,2.19081,0,0.59633,0,0,0,0,1.74533
"Rothia mucilaginosa",0,0,0,0,0.00866,0.03302,0,0,0,0,0,0.01378,0,0.00993,0,0,0,0.06964,0,0,0,0.21013,0,0,0,0.01519,0,0.02616,0,0,0,0,0,0.00012,0,0,0,0.00295,0,0,0,0,0,0,0.00416,0,0,0.00507,0,5e-04,0,0
"Bacteroides faecis",0,0,0,0,0.37201,0.44403,0,0,1.53785,0,8.84339,0,0,0.69958,0,0,0,0,1.7658,0,0,0,0.60274,0,0,0,0,0,0,0,0.70781,1.82501,0,0,0,0,0,0.55008,0,1.75193,0,0,0,0,0.00434,0,0,0,0,0,0,0
"Bifidobacterium bifidum",0,0,0,0,0.04483,0,0,1.1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231,0,0,0,0,0,0.00061,0.42835,0,0,0,0,0,0
"Bacteroides faecis CAG:32",0,0,0,0,0.00271,0.06122,0,0,1.8353,0,0,0,0,0.3303,0,0,0,0,0.00371,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.16557,0,0,0,0,0,0,0.00604,0,0,0,0,0,0,0
"Bifidobacterium longum",0.12088,0.68199,0,0.02941,0.63816,0.02918,0,0.49511,0.00476,0.09591,0,0.58735,0,0.46469,0,3.95292,0.05514,0,0.00758,0,0.59351,0.12856,0.06576,1.1754,0,0.21732,0,0.53214,0,0.25004,0,0,0,0.00259,0.00488,0.73747,0,0.23491,0,0,0.01433,0,0.15676,0.07547,0.97713,1.17061,0.11641,0,0.96474,0,0,0
"Coprobacillus cateniformis",0.03949,0.08485,0,0,0.0691,0,0.00673,0,0,0.01734,0,0,0,0.01351,0,6.30361,0,0,0,0,0,0,0,0,0,0.00151,0.00592,0,0,0,0,0.00731,0.05371,0.01557,0,0,0,0.06688,0,0,0,0,0,0,0,0,0,0.00375,0.04534,0,0.20609,0
"Blastocystis sp. subtype 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium sp. OM08-24",0.00039,0,0,0,0,0,0,0.05058,0,0,0,0,0,0,0,0.00566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04546,0,0,0.00119,0,0,0.00035,0,0,0,0,0,0,0,0,0.02032,0
"Firmicutes bacterium CAG:170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33145,0,0,0.05697,0,0.02107,0,0,0,0,0.23252,0,0,0,0,0,0,0.77668,0,0,0,0,0,0.08312,0.04864,0,0,0,0.02822,0,0,0,0,0,0
"Bifidobacterium adolescentis",0,0,0.00028,0,2.20585,0.21339,0.00126,0,0.03867,0.14165,0,0.0014,0,0.24397,0,0,0.02801,0,0.03442,0,0.63935,0,2.00691,6.69843,0,0,0,0.65178,0,1.07681,0,0,0,1.92291,0,0,0,0,0.04316,0,0,0,0,0,2.11731,2.65958,0,3.69473,0,0,0,0
"Anaeromassilibacillus sp. An250",0,0,0.06245,0,0,0.00045,0,0.02581,0,0,0,0,0,0.06927,0,0.05905,0,0,0,0.08764,0.01542,0,0.01877,0,0,0,0,0,0.04957,0.01226,0.00635,0,0,0.00469,0,0.00521,0,0,0,0,0,0,0.00279,0.06043,0.04462,0.02438,0.007,0.00175,0.02982,0.01905,0.18649,0
"Lacrimispora saccharolytica",0,0,0,0,0,0,0.0204,0.00125,0.00551,0,0,0,0.00328,0,0,0,0,0,0,1.05701,0,0,0,0.00526,0,0,0,0,0,0.0275,0,0,0,0,0,0,0.00201,0.06296,0.5298,0,0,0,0,0.03803,0.1276,0.05065,0,0,0,0,0,0.11726
"Phocaeicola plebeius",0,0,0,0,0.00941,0,0.01807,0,0,0.00198,0,0,0,0,0.00037,0,0.01141,0,0,0,12.47232,0,4.81117,0,0,0,0,0,0,0,0.02454,0,0,2.57065,0,0,0,0,0,11.5595,0.35489,0,0,0,0.03319,11.61101,0,0,0,0,0,0
"Eubacterium coprostanoligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victivallis vadensis",0.04362,0,0,0,0,0.00162,0,0.03636,0,0,0,0,0,0,0,0,0,0.00047,0,0,0.10994,0,0.01262,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0.0583,0,0,0,0.00831,0,0.05166,0.0131,0,0,0
"Bacteroides eggerthii",3.30997,0,3.25528,0,0,0.0464,0,0,1.18805,0,0,0,0,0,0,0,0.00087,0,0,0,0.33327,0,0.03632,0,0,0.69684,0,0,0,23.63998,0,0.01317,0,0,0.00108,0,0,0,0,0.04394,0.60379,5.33133,0,0,0.01052,0.00604,0,0.26838,0,0,0,0
"Tyzzerella nexilis",0,0,0,0,0,0,0,0,0,0,0.1028,0.01732,0.00026,0,0,0,0,0,0,0.07552,0.00216,0,0,0,0.01306,0.00302,0,0,0.08856,0,0,0,0.17706,0,0,0,0,0,0,0.07127,0,0,0.00029,0,0,0,0,0,0,0,0.00338,0.00094
"Christensenella minuta",0,0.00016,0.00473,0.00673,0.00602,0.00135,0,0.08395,0,0,0,0.00191,0.00086,0.00476,0.00172,0.02736,0,0,0,0,0,0,0,0.03087,0,0,0,0,0,0.00499,0.00908,0.01094,0.00427,0.08321,0.02976,0,0.00107,0,0.08354,0,7e-04,0.00296,0,0,0,0,0.01856,0.00191,0.0019,0.01765,0,0
"Lactonifactor longoviformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03663,0,0,0,0,0,0,0,0,0,0,0,0.01091,0,0,0,0,0.00205,0,0,0,0,0.00169,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium succinatutens",1.93752,0,1.48091,0,0,2.43773,0,0,0,3.09553,0,0,0,0,0,0.41134,0,4.35206,0,0,1.31413,0,2.7838,0,0,1.35163,0,4.17668,0,0,1.03224,0.75075,3.30114,0.00185,0,0,0,2.44189,0.20466,0,2.59432,0,1.50989,0,0,1.53415,0,2.38733,0,0,0,0
"Bacteroides salyersiae",1.67254,0,0,0,0,0,0,0,0.00461,0.23799,0,0,0.46943,0,3.01238,0,0,0.2693,0,0,0.30908,0,0.76745,2.13161,0,0,0,0,0,0.43006,0,0,0,0,0,0,0.05359,0.43757,0.00276,0,0,3.18257,0,0,0,0.66476,0,0.42258,0,4.66262,0,0
"Bacteroides finegoldii",0.79048,0,0,0,0.85831,0.11255,0,0,8.25737,0.06241,0,0,0,0,0,0,0.01462,0.28838,2.54397,0,0,0,0.10064,0.00799,0,0.78954,3.30838,0,0,0,0.5324,0,0,0,0,0,0,0,0,0.25953,0.17182,0,4.43966,0,0.63455,0,0.15017,0.1578,0,0,0,0
"Anaerotignum lactatifermentans",0.085,3e-04,0,0,0,0,0,0,0.0359,0,0.776,0.41485,0.21404,0.00322,0.30176,0,0.26983,0,0,0.68122,0,0,0,0.32192,0.10602,1.01498,0.47011,0,0,0,0.32463,0,0,2.00815,0,0,0,0.0056,0,0,0,0,0,0,0.3409,0,0,0,0,0,0,0.35538
"Brachyspira sp. CAG:700",0.04498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalobacter formigenes",0.03685,0,0,0,0,0,0,0,0,0.06705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05209,0,0,0,0,0.06339,0,0,0,0,0,0,0,0,0,0,0,0,0.05753,0,0
"Bacteroides intestinalis",0.01223,0,0,3.48837,0.00108,0,0,0,0,0,0,0,0,0,0,0.01377,0,0.00292,0,0,0,0,0.04386,0,0,0,0,0,0,0.00235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80661,0,0,0,0,0,0
"Bacteroides faecichinchillae",0.00533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00089,0,0,0,0,0,0
"Bacteroides nordii",0.0029,0,0.03513,0,0,0.02836,0,0.00084,0.00176,0,0,0,0,0.00486,0,0,0.74208,0,0.0064,0,0,0,0,0.10719,0.22422,0.02483,0.17415,0,0,0.00499,0.89285,0,0,0,0,0,0.00224,0,0,0,0,0.00145,0.01071,0,0.00378,0,0.02064,0,0,0,0,0
"Haemophilus pittmaniae",0,0.04555,0,0,0,0,0,0,0,0,0,0.14116,0,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella rogosae",0,0.03923,0,0,0,0.00076,0,0,0,0,0,0,0,0.00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318,0,0,0,0,0,0,0,0.00405,0,0,0,0,0,0,0,0
