"","CCIS02379307ST-4-0","CCIS06260551ST-3-0","CCIS11015875ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS17669415ST-4-0","CCIS21278152ST-4-0","CCIS22416007ST-4-0","CCIS22958137ST-20-0","CCIS24254057ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS35100175ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS44757994ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS48725289ST-4-0","CCIS50148151ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS55230578ST-4-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS65479369ST-4-0","CCIS71301801ST-4-0","CCIS72607085ST-4-0","CCIS76845094ST-20-0","CCIS77252613ST-4-0","CCIS78318719ST-4-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87605453ST-4-0","CCIS91228662ST-4-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0"
"Methanobrevibacter smithii",0.05642,44.27099,1.18342,0.0538,12.59757,0,0,0.01162,9.32377,0.37595,0.09111,0,18.50524,0,2.68892,10.68266,0,3.26931,0,0.23034,0.04929,0,0,4.96593,0,0,0.07333,2.82738,10.58333,5.85757,0.27084,1.7905,0.03849,2.32918,2.36569,0,0,0,0.00025,0.00283,1.94839,5.63788,0,0.01081,0.03502,0,13.77789,0.01757,0,0,0.00166,0.03173,0
"Veillonella parvula",0.02232,0,0,0,0,1.56271,5.72309,0.07003,0,0.00723,0.00051,0,0,0.19869,0.18837,0.01152,0.01275,0,0.00519,0.00076,0,0,0,0,0.19838,8.32086,0.15943,0,0,0,0,0.00577,0,0,0,0,0,4.26502,0.04889,0,0.0403,0,0,0.00275,0,2.12578,0,0,0,0,0.01176,0.01103,0
"Alistipes finegoldii",0.15901,0.14542,0.79073,0,0.00203,0.82695,0,0.03364,0.09218,0.94396,0.09137,0,0.06674,0.00254,0,0.01772,0,1.07178,0,0.06544,0.08943,0.49213,0,1.65146,0,1.63713,0.13315,0.5655,0.43752,0.8228,0.00896,0,0.00885,0.09745,0.9957,0.16112,6.62173,0,0,0.03476,0.24,0.00114,0.03676,3.28708,0.01654,0,0.16547,5.66238,1.63836,0,1.60735,0,0.24382
"Flavonifractor plautii",0.02953,0.00915,0.31248,0,0.31291,0.23489,12.20105,0.47161,0,0.03798,0,0.60596,0.07822,0.67589,0.01828,0.00088,0.00638,0.00101,8.69179,0.03227,0,1.05715,0.19122,0.01378,0.01875,0.29626,0.48485,0,0.02291,0.01225,0.0075,0,0.02921,0.00617,0.12464,0.68018,0.26503,0.20661,0.28052,0.10801,0.8644,0,0.12721,0.26965,0.10745,0.65058,0.02115,0.39426,0.92016,0.41104,0.14631,0.01343,0
"Holdemania filiformis",0,0,0,0,0,0,0,0.01872,0.0073,0,0.00252,0,0,0,0.00168,0.00605,0.06807,0,0,0.01525,0,0,0,0,0.01624,0.26924,0,0,0,0,0,0.03958,0.00054,0,0.0254,0,0,0,0,0.02243,0.20263,0.01311,0.02276,0.04393,0,0,0,0,0,0,0.06121,0.13888,0.00568
"Faecalitalea cylindroides",0,0,0,0,5.14993,0,0,0,0.01543,22.27469,0,0,0.05111,0,0,0.12504,0.10509,0.08275,0,0,0,0.00891,0,0,0,0,0.09572,0,0,0,0.00094,0,0,0.89933,2.41392,0,0,0,0,0.03237,0.297,0,0,0,8e-04,0,0,0,0,0.06292,0,0,0
"Dielma fastidiosa",0,0,0.02035,0,0,0,0,0,0,0,0,0,0.00247,0,0,0,0.0056,0.00024,0,0,0,0,0,0,0,0,0.2604,0,0,0.00146,0,0,0,0,0,0,0.00379,0,0,0,0.53658,0,0,0.00151,0,0.09049,0,0,0.02968,0.01433,0.28528,0.14615,0
"Bacteroides nordii",0,0.15808,0,0.91302,0,0,0,0,0.01825,0,0,0,4.22005,0.0014,0.02128,0.11313,0.29716,0,0,0,0,0,0,0,0.00404,0,0.45895,0.00884,0,0.03214,0,0,0,0.01088,0,0,0,0,0,0.07631,0,0.00109,0,0,0,0.0074,0.00265,0,0.03444,0.00016,0,1.28928,0.03608
"Alistipes indistinctus",0,0.1496,0.0387,0,0.02736,0,0,0,0.01264,0.04756,0,0,0.01875,0,0.00123,0.05108,0,0.08017,0,0.15836,0.03597,0.45921,0,0.03333,0.00964,0.23431,0.09493,0.83691,0.03609,0,0.01868,0,0,0.00067,0.05505,0,0.04523,0,0,0,0,0,0,0.10141,0,0.11463,0.0037,0.67159,0.29083,0,0.00423,0.02624,0
"Saccharomyces cerevisiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0.00919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides galacturonicus",1.19166,0,0.00171,0,0,0,0,0,0.01964,0,0.03417,0,0.12762,0,0.66933,0.11346,0,0,0,0,0,0,0,0.00126,0.03757,0,0,0,0,0.00286,0,0,0.00348,0,0,0,0,0,0,0.0454,0,0,0,0,0,0,0.11699,0,0,0,0,0,0.01264
"Bifidobacterium bifidum",0,0,0,0,0,0,0,1.42303,0,0,0,0,0,0,0.00992,0,0,0.04541,10.88382,3.07577,1.01793,0,0.87328,0,0,0,0.00459,0.30385,1.19591,0.50384,0,0,0,0,0,8.18985,0.00175,0,0,0,1.29883,0,0,0.00115,1.25469,0,0,0,0,0,0,0,0
"Bifidobacterium adolescentis",0,0.03922,0.11561,0,1.34071,0,0,1.34424,0.07621,7.52677,0.00316,0.00022,0.72831,0,0,0.02446,0,0,0,1.82004,1.15947,0,0.29768,3.56361,0.29585,0,0.04,0.74631,0,0.04542,0.06457,0.00062,0.00095,0,0,0.16907,0.00151,0.01644,0,0.40566,0.90017,0,0.54256,0,0.67872,0,0.21314,0,2.24114,0,0,0,0
"Dialister invisus",0,0,0,0,0,0.00586,0.01945,0,0,0,0,0,0,0,0.0029,0,0,0,0,0,0.05197,0,0,0.68452,0.14063,0,0.23115,0,0,0,0,0,0,0.08647,0,0,0,0.0073,1.00469,0,0.02688,0,0.18339,0.16348,0,0,0,0,0,0,0,0,0
"Prevotella sp. 885",0,0,0,0,0,0,0,0,0,0,10.90344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78044,0,1.27386,0,0,0,0,0,0,0,0
"Roseburia sp. CAG:471",0.03174,0,0,0,0,0,0,0,0.00249,0.02186,0.21946,0.00019,0,0.00169,0,0.00087,0,0.01576,0,0,0.49852,0,0,0,0.14659,0,0,0.07057,0.00097,0.02519,0.00251,0.01167,0.00815,0,0,0,0,0,0.0012,0.03467,0.01408,0.0016,0.00682,0,0.00306,0,0.00142,0,0,0.00085,0.00996,0.03831,0.00396
"Bifidobacterium angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus fermentans",0,0,0,0,0,0,0,0.00576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37944,0.40509,0,0.75291,0,0,0,0,0,0,1.63795,4.10562,0,0,0.00803,0,0,0,18.31794,0,0,0,0,0
"Bacteroides intestinalis",1.39947,0,0.98826,3.34745,0,0.236,0,0,0,0,0.00829,0,2.8803,0,0,0,0,0,0,0,0,0,0.00315,0,0,0,0,0.76689,0.00283,0,0,0,0,0,0,0,0,0,0,0,0.04443,0,0,0,0,0,0,0.1981,4.67624,0,0,0,0
"Ruminococcus callidus",0,0,0.32678,0,0.00834,0,0,0,0,0,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0.00579,0.01422,0,0,0.00188,0,0,0,0.494,0,0.19147,0,0,0,0,0,0.39825,0,0,0.11064,0.04079,0.00328,0,0,0,0,0,0,0,0
"Eubacterium sp. CAG:38",0.04654,0,0,0,0.04071,0,0,0.81294,0.12874,0,2.12167,0,0.00741,0,0,0.11268,0.0093,2.03031,0.00771,0.14043,0.03472,0.00506,3.94258,0.03805,0.0359,0,0,0.15922,0,0.14599,0.75592,0.2938,0.00904,1.53244,0.04137,0,0.24901,0,0.19045,0.03566,0.41243,1.61256,0,0.5396,0.02166,0,6e-04,0,0.00564,0,0.72057,0,0.13977
"Slackia isoflavoniconvertens",0,0.10223,0,0,0.00328,0,0,0.30134,0.18617,0,0.24564,0.00155,0,0.19695,0,0.00481,0.00789,0,0,0,0.00189,0,0,0,0.4354,0,0,0.07155,0,0.41533,0.00087,0.00482,0.11452,0.52293,0,0.4998,0,0,0.00142,0.29458,0,0.0012,0,0.01778,0.0625,0,0.30707,0.00754,0,0.13185,0,0,0.00525
"Clostridium sp. CAG:167",0.00277,0.86754,0,0,0,0,0,0,0.20699,0,0,0,0,0,0,0.08631,0,0.53907,0,0,0,0,0,0,0.21346,0,0,0,0.01743,0,0,0,0.00935,0,0,0,0,0,0,0,0,0,0,0.03724,0,0,0,0,0,0,0,0,0
"Propionibacterium freudenreichii",0,0,0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03779,0,0,0,0,0,0,0.01234,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides goldsteinii",0.06806,0,0,0,0,0.45152,0,0,0.05848,0,0,0,0.59352,0,0,0.00165,0.0132,0,0,0.06743,0,0,0,0,0.07158,0,1.19787,0,0.1116,0,0,0,0,0,0,0,0,0,0,0.01314,0,0,0.00246,0,0,0,0.39157,0.05924,0,0,0,0,0
"Streptococcus vestibularis",0,0,0,0,0.04049,1.00831,0.00133,0.0898,0,0,0.03014,0,0,0,0.01022,0,0.01189,0.00305,0.00456,0,0,0.04986,0,0,0,0,0.01232,0,0.03339,0.03313,0,0,0,0,0.00361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus faecalis",0,0.00122,0,0,0,0,0,0.12201,3.10609,0,0,0,0,0,0,0,0,0,0,0,0,0.08252,0,0.15006,0,0,0.00425,0,0,0.68114,0.00689,2.5982,0.33498,0.16166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198,0.01875,0,0.97786,0
"Haemophilus parainfluenzae",0.0052,0.04129,0,0,0,0.45802,0.07694,0,0,0,0.00846,0.00076,0,0.00337,0.19947,0,0.50945,0,0,0.0058,0,0,0,0,0.93565,0.06052,0.01074,0,0,0.01509,0,0,0,0.04807,0,0.03283,0,0,0,0,0.0388,0.01733,0,0,0,0.02816,0.14897,0,0,0,0.02065,0,0
"Pseudomonas fragi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium] symbiosum",0,0.4036,0,0,0.32716,0.46207,0,0.0075,0,0.00119,0.11825,0.5606,0,0.028,0,0,0.3158,0.00106,0.19706,0.00728,0,0.2731,0,0,0,0.93636,0.07057,0,0.13527,0.00552,0.00426,0,0,0,0,0,0.00758,0.17732,0.02399,0,0,0.00334,0,0,0,0.62802,0,0,0.25228,0.16135,0.03411,0,0
"Leuconostoc mesenteroides",0,0,0,0,0,0,0,0.02716,0,0,0,0.01176,0,0.00281,0,0,0,0.00414,0,0,0,0,0,0,0,0,0.0039,0,0,0.03145,0,0,0,0.00096,0,0,0,0.01118,0,0.01215,0,0,0,0,0,0,0.11024,0,0,0.08974,0,0,0
"Streptococcus australis",0,0,0,0,0.00492,0,0,0.00262,0,0,0,0.00231,0,0,0.02605,0,0.0125,0,0,0,0,0.00333,0,0,0.09761,0,0,0,0,0,0.03544,0.03101,0,0,0.00225,0,0,0,0,0.04229,0,0.00071,0.05682,0,0,0,0,0,0,0,0,0,0
"Hungatella hathewayi",0.02067,0.24572,0,0,0.00036,0.04518,13.76978,0.0054,0,0,0,0.33885,0.02779,0,0,0.00435,0,0.00031,1.32232,0.00151,1.51031,0.08957,0,0,0,0.16003,0.26702,0,0.08815,0.03622,0.00431,0,0,0.00669,0,0.04671,0.0196,0.03157,0.00071,0,0,0,0,0,0,0.14552,0,0,0.13489,0,0.08282,0,0
"Bifidobacterium pseudocatenulatum",0,0,0.99292,0,0.00037,0,0,0.31066,0,0,0,0,0,0,0,0,0,0.00364,0.00449,0.60372,0,0,0,0,0,0,0,0,0,0.00353,0.1151,2.05263,0.00435,0.24728,0,0,0,0.01655,0,0.00097,0.24725,0,0,0.42213,0,0,0,0,0,0,0,0,0
"Cutibacterium acnes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium limosum",0,0,0,0,0.04028,0,0,0.06702,0,0,0,0.73414,0,0,0,0,0,0,0,0,0.02799,0.01801,0,0,0,0,0,0,0.04061,0,0,0.00459,0,0,0.00681,0,0,0.08333,0,0,0,0,0,0,0,0,0,0,0,0.08318,0,0,0
"Haemophilus sp. HMSC71H05",0.0112,0,0,0,0,0,0.00994,0,0,0,0,0.00145,0,0.01748,0.21035,0,0.04496,0,0,0.01358,0,0,0,0,0,0,0,0,0,0,0.00957,0,0,0,0,0.01076,0,0,0,0,0.0169,0,0,0,0,0,0,0,0,0,0.05063,0,0
"[Clostridium] innocuum",0,0.32541,0.01755,0,0,0.00381,4.53792,0.07658,0,0.00063,0,0.40338,0.02817,0.00921,0,0.00044,0,0.0017,0.09228,0.00312,0.18987,0,0.02055,0,0,0,0.03087,0,0.02326,0,0.00156,0.01915,0,0,0.00479,0.02372,0,2.83667,0.12579,0.02094,0,0.00016,0.01173,0,0,0.26042,0,0,0.04434,0.0705,0,0.01227,0
"Streptococcus milleri",0,0,0,0,0,0,0,0.05823,0.00738,0,0,0,0,0.01521,0.0308,0,0.04388,0,0.0026,0,0,0,0,0,0,0,0,0,0.04459,0,0,0.02364,0.00165,0,0,0.021,0,0,0,0,0,0,0.00828,0,0,0,0,0,0.00383,0,0,0,0
"Amedibacillus dolichus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02218,0,0.45966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01269,0,0,0,0,0,0,0,0,0,0,0
"Allisonella histaminiformans",0,0,0,0,0,0,0.00673,0,0,0,0,0,0,0,0,0.00499,0.05093,0,0,0,0,0,0,0,0,0,0.01463,0,0,0,0,0,0.00723,0.07317,0,0.09372,0,0,0,0.10608,0.00338,0,0,0,0.07739,0,0,0,0,0,0.04594,0,0
"Veillonella infantium",0,0,0,0,0,0.03182,0.02585,0.00198,0,0,0,0,0,0.00295,0.05093,0,0.00297,0,0,0,0,0,0,0,0.01332,0.01193,0.01331,0,0,0,0,0,0.00654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00086,0,0
"Eubacterium dolichum CAG:375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01477,0,0.52425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01153,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces sp. S6-Spd3",0,0,0,0,0,0.02698,0,0.01853,0,0,0,0.00727,0,0,0.00361,0,0,0,0.00374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0,0,0,0,0,0,0,0.00146,0.0088,0,0,0,0,0,0,0,0,0
"Veillonella dispar",0.01101,0,0,0,0,0.28373,0.10837,0,0.00257,0,0,0,0,0.00975,0.02015,0,0.01258,0,0,0,0,0,0,0,0.03872,0.03396,0.02771,0,0.00383,0,0,0,0.1174,0,0,0,0,0,0,0,0,0,0,0.0034,0,0,0,0,0,0,0.00649,0,0
"Anaerotruncus colihominis",0,0,0.00169,0,0,0,0,0.00953,0,0.20091,0.17517,0.19344,0.01008,0,0,0,0,0,0.19421,0.17915,0,0,0,0,0,0.22959,0.09835,0.00529,0,0,0.048,0,0,0,0,0.00403,0.16741,0.06126,0.0059,0,0.04085,0,0,0.00221,0,0.006,0,0,0.05726,0.04278,0.03069,0,0
"Collinsella intestinalis",0,0,0.00971,0.01116,0.02253,0.00382,0,0.02552,0.00577,0.08282,0.00785,0.00022,0.00787,0.00287,0.01634,0.01396,0.00073,7e-04,0.00983,0,0.00362,0.00778,0,0,0,0.00149,0.00047,0.00666,0,0.01468,0.00263,0.00815,0.00859,0.00468,0,0.03942,0.00028,0,0.00103,0.00786,0.01859,0,0.00228,0.00142,0.00313,0,0.01271,0.16462,0,0.00471,7e-04,1.36335,0.01502
"Actinomyces oris",0,0,0,0,0.00172,0,0,0.01654,0,5e-04,0.00057,0,0,0,0.00209,0.01179,0,0.00353,0,0,0,0,0,0.00123,0,0,0,0,0,0,0,0.00237,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0,0,0,0,0,0,0.0026
"Streptococcus sp. A12",0,0,0,0,0.00449,0,0,0.01843,0,0,0,0,0,0,0.03055,0,0,0,0,0,0,0.01489,0,0,0,0,0,0,0,0,0.00847,0,0,0,0,0.00714,0,0,0,0,0,0.00656,0.00774,0,0,0,0,0,0,0,0.00151,0,0
"Clostridium sp. CAG:299",0,0,0,0,0,0,0,0,0,0,0,0,0,0.64325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02511,0,0,0,0,0.08769,0,0.13237,0,0,0,0,0,0,0,0,0,0,0,0,0.00595,0,0,0
"[Clostridium] spiroforme",0,0.00938,0,0,0.00194,0,0.32761,0,0,0,0,0,0,0,0,0,0,0.10277,0,0,0,0,0,0,0,0.00058,0,0,0.4035,0.03454,0,0.02415,0,0,0.03902,0,0,0,0.04194,0,0,0,0,0,0,0.0171,0,0,0,0,0,0,0
"Streptococcus mitis",0,0,0,0,0.03035,0.15415,0.00974,0.01916,0,0,0,0,0,0.11753,0.04637,0.00402,0.02689,0,0,0,0,0,0,0,0.01743,0,0,0,0,0.12281,0.00327,0.00725,0.00179,0,0.00134,0,0,0,0,0.00899,0,7e-04,0.01632,0.0017,0,0,0.07933,0,0,0,0.00567,0.00807,0.01218
"Lancefieldella rimae",0,0,0,0,0,0.02427,0,0.06436,0,0,0,0,0,0.00879,0,0.00518,0,0,0.00084,0,0,0,0,0.00365,0,0,0,0,0,0,0,0.00129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039
"Streptococcus infantis",0,0,0,0,0,0.06066,0.01215,0.04005,0,0,7e-04,0,0,0,0.00236,0,0.04255,0,0,0,0,0.00192,0,0,0.02267,0,0,0,0,0.04854,0.00625,0,0,0,0,0,0,0,0,0.03547,0,0.00333,0.01589,0,0,0.00702,0.00387,0,0,0,0.00119,0.01448,0
"Pseudoflavonifractor capillosus",0,0,0,0,0,0.00532,0,0.00624,0,0,0,0,0,0,0,0,0,0.00135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces sp. oral taxon 414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0.00029,0,0,0,0,0,0,0,0,0,0
"[Eubacterium] brachy",0,0,0,0,0,0,0,0,0.07536,0,0.00092,0,0,0,0,0.00565,0,0,0,0,0,0,0,0,0,0,0,0,0.03209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0,0,0,0,0
"Lactonifactor longoviformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169,0,0,0,0,0,0,0.00555,0.00728,0,0,0,0,0,0,0,0,0,0,0.01746,0,0,0,0,0.03074,0,0,0,0,0,0,0,0,0,0
"Tractidigestivibacter scatoligenes",0,0,0.04736,0,0.12055,0,0,0.02666,0.00296,0.00062,0.00249,0,0.08641,0,0,0.02555,0,0,0.05864,0,0,0.00085,0,0.00508,0,0,0,0.00215,4e-04,0.00047,0,0.00633,0.01602,0,0,0.01432,0,0,0.00473,0.00296,0.14556,0,0.00111,0,0.01072,0,0,0.20883,0,0,0,0,0.00965
"Actinomyces massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella uli",0,0,0,0,0,0,0,0.01614,0,0,0,0.00275,0,0.00662,0,0,0,0,0.00172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0.00095,0,0,0,0.01138,0,0,0,0,0,0
"Phocaeicola plebeius",0,0,0,0,0.17188,1.6052,0.02831,0.21873,0,0,1.81583,0.00161,0,0.88214,0.15603,1.3911,0,1.37196,0,0,0.03347,0,0,0,0,4.57904,0.00268,0,0,0,0.32247,0.18938,0.00596,7.96543,0,0.12512,0,0.2567,0,0,0.00137,0,0,0.00184,0.56757,0,0.77678,0,0,0.00674,0.98751,0,0
"Megasphaera sp. DISK 18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13032,0,0,0,0,0
"Denitrobacterium detoxificans",0,0,0,0,0.00106,0,0,0,0,0,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067,0,0,0,0,0,0,0.00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slackia exigua",0,0,0.01988,0,0,0.00991,0,0,0.0011,0,0,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoflavonifractor sp. An184",0,0.00641,0.05985,0,0.01781,0,0,0.17708,0,0.00997,0,0,0,0,0,0,0,0,0,0,0,0.14152,0,0,0,0,0,0,0.00594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403,0,0.00385,0,0,0,0,0,0,0.00161
"Actinomyces sp. oral taxon 448",0,0,0,0,0,0,0,0.00068,0.00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00576,0,0,0,0,0.00488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116,0,0,0,0,0,0
"Bacteroides clarus",2.60971,0,0.10326,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0.04199,0,0,0.02584,0,0,0,0,0,0.0855,0.00028,0,0.17095,0,0,0,0.00538,0.46803,0,0,0,1.91555,0,0,0,0.50965,0.0329,0,0,0,0.103,0,0,0,0.21327,0.00715,0
"Peptostreptococcus anaerobius",1.08139,0,0,0,0,2.21368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67866,0,0.24996,0,0,0,0,0,0.14066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium faecium",0.83534,0.28023,0,0.58513,0.01557,0,0,0,0,0.53001,0,0.3589,0.66505,0,0,0,0,0,0.457,0.00175,0,0,0,0.00894,0.07755,0.6896,0,0,0.31217,0.03127,0,0.01182,0.00226,1.1374,0.48752,0,0,0,0,0,0,0.90528,0.01063,0.20062,0,1.32674,0,0,2.64933,0,0,0,0
"Streptococcus agalactiae",0.5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00407,0,0,0,0,0,0,0,0,0,0
"Dialister pneumosintes",0.46934,0,0.0715,0,0,1.00571,0,0,0.09797,0,0.07518,0.00342,0.73355,0.11674,0.32818,0.05034,0.14223,0,0,0,0,0,0,0,0,0.12051,0,0,0,0,0.51549,0,0.05858,0.00764,0,0,0.04648,0,0.3302,0,0,0,0,0,0,0.04696,0,0,0,0,0,0,0
"Butyrivibrio crossotus",0.44226,0.05678,0.03793,0,0,0,0,0,26.56891,0,0.03032,0,0,0.0068,2.25077,13.03124,0,0.02241,0,0,0,0,0,0.00631,0,0,0.09488,0.00132,0,0,0,0,0.05287,0.02221,0,0,0,0,0,0.61878,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. CAG:144",0.42342,0.06561,0.53806,0,0.53725,0,0,0,0,0.31484,0,0,0.57338,0,0,1.6014,0,0,0,0,0.21779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04433,0,0,0,0,0.62783,0,0,0,0,0,0,0,0,0,0.11795,0.22836
"Fusobacterium necrophorum",0.41188,0,0.99223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52128,0,0,0,0,0,0,0,0,0.18767,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella intermedia",0.37654,0,0.53583,0,0,0.25412,0,0,0,0,0,0,11.29539,0,3.59524,0.02585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcus stomatis",0.29549,0.00537,0.02633,0,0.95588,0.22367,0,0.01477,0,0,0.00517,0,1.90361,0.0303,0.78847,0.35867,0.02388,0,0,0,0,0,0,0,0,0,0.03213,0.12884,0,0,0.06051,0.00099,0.06055,0.00965,0,3.28574,0.05665,0,0.29112,0,0,0,0.00017,0,0.02961,0,0,0,0.00628,0,0,0.00944,0
"Roseburia sp. CAG:303",0.26077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1823,0,0,0,0,0,0,0,0,0.89163,0,0,0,0.08177,0,0,0.24665,0,0,0,0,0,0,0,0,0,0.49267,0,0,0,0,0,0,0,0,0,0,0
"Alistipes inops",0.16193,0.46366,0.45433,0,1.17751,0,0,0.27886,0.09834,0,0,0,0.07047,0,0,0.24896,0,0,0,0.17512,0,0,0,0.06281,0.58059,0,0.09754,0,0.44092,0.25467,0.00204,0,0,0.11151,0,0,0.51505,0,0,0,0,0,0,0.42101,0,0,0,0.75106,0,0,7e-04,0,0.4906
"Gemella morbillorum",0.12615,0,0,0,0,0.07477,0,0.0272,0,0,0.01932,0,1.33325,0,0.02806,0.66935,0.06494,0,0,0,0,0,0,0,0,0,0,0.19386,0,0.01354,1.25409,0,0,0.00133,0,0.54001,0,0,0,0.0026,0,0.19871,0.00793,0,0,0,0.04215,0,0,0,0.03762,0,0
"Alistipes onderdonkii",0.08518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35777,0,0.36879,0.02939,0.02128,0,0,0,0.07552,0,0,4.96421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus vaginalis",0.04283,0.0017,0,0,0.00706,0,0,0,0.00998,0,0.03622,0,0,0,0.03246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
