"","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","CCMD19168690ST-11-0","CCMD21593359ST-11-0","CCMD21703880ST-11-0","CCMD27463710ST-11-0","CCMD35633353ST-11-0","CCMD42956136ST-11-0","CCMD49461418ST-11-0","CCMD52117727ST-11-0","CCMD52145360ST-11-0","CCMD59583015ST-11-0","CCMD65222621ST-11-0","CCMD65406197ST-11-0","CCMD71242853ST-11-0","CCMD71915439ST-11-0","CCMD72690923ST-11-0","CCMD76222476ST-11-0","CCMD79349503ST-11-0","CCMD89306485ST-11-0","CCMD92404903ST-11-0","CCMD95431029ST-11-0","CCMD95676152ST-11-0","CCMD98531134ST-11-0"
"Flavonifractor sp. An100",0,0,0.03843,0,0.00277,0,0,0,0,0,0,0,0,0,0,0,0.04066,0,0.00173,0,0,0,0,0,0,0,0,0,0,0.00785,0,0,0,0,0.00145,0,0,0,0,0,0,0,0,0,0,0,0.00999,0,0,0,0,0,0.01186,0,0,0,0,0,0,0
"Limosilactobacillus mucosae",0,0,0,0,0,0,0.0747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slackia isoflavoniconvertens",0,0,2.15606,0,0,0.00684,0.21321,0.72086,0.00293,0.00099,0,0.00248,0.13211,0.00046,0,0.31136,0.50835,0.11928,0,0.08124,0.00448,8e-04,0,0,0,0,0.00819,0,0,0,0.029,0.32172,0,0.00051,0,0.15278,0.00133,0.00174,0,0.00178,0.31105,2.35492,0.26545,0.54802,0.19186,0,0,0.61503,0.00186,0,0,0,0.32365,2.276,0,0.81219,0,0.00536,0,0.69288
"[Clostridium] leptum",0.23113,0.01029,0.26175,0.01968,0.04609,0.00571,0,0.00745,0.00286,0.01557,0,0.01777,0,0.01121,0,0.04108,0.00312,0.00433,0.00261,0.00397,0.0048,0.01128,0.05654,0.24733,0.01111,0.04332,0.01801,0.00371,0.00957,0.01045,0.42486,0.00192,0.00136,0.03045,0.01174,0.01085,0.05294,0.00491,0.00558,0,0.02404,0.02267,0.019,0,0.01544,0.01215,0.02392,0,0.02067,0.0034,0.0163,0.03202,0.07766,0,0.00554,0,0,0.02898,0.00221,0.01438
"Prevotella nigrescens",13.13683,0,0,0,0,0,0,0.04785,0,0,0,0,0,0,0,0,0,0,0,0,4.51451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258,0,24.43536,0,0,0,0,0,0,0,0,0.14512,0,0,0,0,0,0,0,0,0,0,0.09371
"Parvimonas micra",2.50097,0.02841,0,0.30884,0,0.04582,0.24886,0.00671,0,0,0,0,0.00336,0,0.03297,0.00347,0,0.01714,0,0,0.22227,0.54564,0,0,0.16128,0.00459,0,0.00765,0,0.6279,0.04178,0,0,0,0,0,0.00126,0.04791,0.06751,3.6653,0.12608,0,0.11319,0.01169,0,0,0,0,0.04298,0.0092,0,3.12512,0.00625,0,0,0.00315,0,0.32883,0.05762,0.01229
"Solobacterium moorei",2.27789,0,0,0.01937,0,0.07706,0.10162,0.00684,0.00093,0,0,0,0,0.00269,0.00688,0,0,0.01142,0.00444,0,0.30584,0.01885,0,0,0.00882,0,0,0.00145,0.00163,0.1582,0.02564,0,0,0,0,0,0.00336,0.00457,0,1.04312,0,0.00701,0.17025,0,0,0,0,0.0021,0.00026,0.02032,0,1.01608,0,0,0,0,0,0.03571,0.01281,0.00416
"Bacteroides salyersiae",2.13417,0,0,0,0.00289,0.87067,0.00282,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.41639,0.49188,0,0,0,0.59747,0,0,0,0,0,0,0,0,0,0,0,0,0.96639,0,0,0,0.03042,0,0,0,0,0,1.74004,0,0,0.00298,1.32145,0,0,0,0,0
"Firmicutes bacterium CAG:145",1.57703,1.70762,0.2479,0,0,0.01515,0,0.00758,0,0.00995,0,0,0,0,0,0.12815,0,0.00507,0.12127,0.02637,0.00805,0.25472,0.06483,0.21098,0,0.0231,0.01221,0.01449,0,0.12726,0,0.01207,0,0.20316,0.08791,0.02965,0,0,0,0.03203,0.09781,0.03984,0.01142,0,0,0.05902,0.20363,0,0.1176,0.02158,0.20634,0.22422,0.10727,0,0,0,0,0.07648,0.27703,0
"Enterocloster clostridioformis",1.4189,0,0.012,0,0.03217,0,0.00682,0.00119,0,0.06524,0.01389,0,0,0,0,0,0.03026,0,0,0,0,0.00567,0,0,0.5447,0.01898,0,0,1.52739,0.04063,0,0.00554,0,0.16679,0,0,0,0.04535,0.03828,0.01581,0,0,0,0,0,0.04408,0,0,0,0,0.00985,0.00052,0,0,0,0,6.69919,0,0,0
"Fusobacterium nucleatum",1.36414,0.02504,0,0,0,0.00251,0.03058,0.00087,0,0,0,0,0,0.00247,0.02838,0,0.01236,0.00606,0,0,0.28986,0.00651,0,0,0,0,0,0,0,0.00583,0,0,0,0,0,0,0,0,0,2.30237,0.04243,0,0,0.62127,0,0,0,0,0.00949,0,0,0.38502,0,0,0,0,0.21347,0.23033,0,0.00459
"Lacrimispora saccharolytica",1.16413,0,0.0966,0,0,0,0.00531,0.00297,0,0.06258,0,0,0,0,0.47541,0,0.03244,0,0,0.02769,0,0,0,0.04673,0,0,0,0,0,0,0,0,0.03099,0,0,0,0.02692,0.0094,0,0,0,0,0,0,0.04913,0.03369,0,0,0.00473,0,0,0.08426,0,0,0,0,0,0,0,0.03123
"Bacteroides caccae",0.89941,0.74554,0.00946,2.20474,1.17728,1.0273,0,0.32143,1.27179,0.4161,2.5791,1.04368,0,0,0,1.67613,0.01117,0.39157,0.0017,0.03902,1.8899,0,0,0.61246,0,0.00233,0,0.27452,0,1.31301,3.28031,0,1.20465,0.00294,0.00542,1.76021,0.70067,0,0,4.12882,3.95897,0,0.36451,0.9478,1.13697,0,1.01636,0.4894,0.75911,0,0.45024,2.0369,0.03951,0.61256,1.0025,0,0.00141,0,0.28449,0.57264
"Bacteroides cellulosilyticus",0.82647,1.55818,0.92676,0,0.61934,0.55009,0.00758,0.38051,2.44613,0.87888,0.31868,0.48928,0.04927,0.02298,0.3748,0.02617,0,0.00053,0.00135,0,0,0,0,0,4.82313,0,5.59058,0.00345,0.73232,0.00288,0,0.0844,0.00095,0.00055,1.49596,0,2.5456,0.00393,0,0,0.32615,0.01151,2.52072,0.93285,0,0,0.17152,0,0.10977,0,0,0,0,0,0.72664,0.02022,0,0.53669,0.22779,0.15081
"Clostridium sp. CAG:242",0.73683,0,0,0,0,0,0.12338,0,0,0,0,0,0,0,0,0.28348,0,0,0.35943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07386,0,0,0,0,0,0,0,0,0,0.80603,0,0,0,0,0,0,0,0,0,0,0.03865,0,0.18201
"Dialister pneumosintes",0.65694,0,0,0.00592,0,0.10959,0.01601,0,0,0,0,0,0.12191,0,0.04573,0.01724,0,0.02492,0,0,0.47175,0.03811,0,0,0.00017,0,0,0.12731,0,0,0,0,0,0,0,0,0,0.08335,0.13011,0,0,0,0.06012,0.16822,0,0,0,0.0044,0,0,0,0.40143,0,0,0,0,0,0,0.00509,0
"Alistipes indistinctus",0.46907,0.24037,0.2806,0,0.07395,0.03616,0,0.01946,0,0.19659,0,0,0,0.03929,0,0.33724,0,0.08458,0.00917,0,0.0117,0.02885,0,0,0,0.30062,0.30248,0,0,4e-04,0,0,0,0,0.01,0,0.02037,0.11779,0.17304,0.00247,0.02321,0.14703,0.01694,0,0.00544,0.12829,0.04484,0.00251,0,0.15396,0,0,0.01353,0.07996,0,0,0,0.00331,0.53211,0.3325
"Erysipelatoclostridium ramosum",0.46209,0,0,0.02773,0,0,0,0.10602,0.09953,0,0.01867,0,0.24149,0.02831,1.93117,0,0.38107,0,0,0,0,0,0,0,0.01345,0.04406,0,8e-04,0,0.00091,0,0,0,0.6308,0.16721,0,0.00989,0,0,0.28792,0,0.0064,0.02617,0.10983,0,0.01829,0,0,0,0.02243,0.00137,0.23639,0,0,0,0,0.00075,0,0,0
"[Clostridium] symbiosum",0.40979,0.00407,0.0552,0.21664,0.00316,0,0.03475,0,0,0.07587,0.2258,0.00037,0,0,0.40688,0.01081,0,0,0,0,0.18944,0.00766,0.04364,0.00388,0.29861,0.10909,0,0.0091,0.66903,0.01135,0.0074,0,0,0.48727,0,0,0.00261,0,0,0.4591,0.09276,0,0.01551,0,0,0.00183,0.00413,0,0.00679,0.10668,0,0.24482,0,0,0,0,0.55737,0,0.01955,0
"Enterocloster bolteae",0.38545,0.02383,0.07295,0.00344,0.24647,0,0.00944,0.00247,0.05316,0.0097,0.01105,0.00195,0,0.0128,0.36219,0.03386,0.05097,0,0,0.00212,0,0,0,0.02376,0.07825,0,0.01717,0.02143,0,0,0,0,0,1.61638,0.00226,0.00707,0.00911,0.00447,0,0,0,0,0,0,0,0.03526,0.01973,0,0.00078,0.34188,0.00091,0.02913,0,0,0,0,0,0,0.002,0
"Anaerotruncus colihominis",0.28167,0.0083,0.01183,0.23925,0.00071,0,0,0,0,0.12498,0,0.04809,0.02621,0.00076,0,0.0297,0,0.0014,0,0,0,0.00955,0.02203,0,0,0,0,0,0,0,0,0,0.00017,0.1151,0.01296,0,0.00047,0.00494,0,0.00582,0,0,0,0,0,0.02341,0,0,0.029,0,7e-04,0.00918,0,0,0,0,0,0,0.23803,0.00879
"Ruminococcus sp. CAG:330",0.27276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6376,0,0,0,0,0,0,0,1.06317,0,0,0,0,0,0,0,0,0,0,0,0.4705,2.98205,0,0,0,0
"Porphyromonas asaccharolytica",0.25747,0,0.00274,0,0,0.08132,0.83426,0,0,0,0,0,0,0.00125,0,0.0398,0,0,0,0,1.21351,0.15641,0,0.0081,0.38676,1.56226,0,0,0,0,0.00173,0,0,0,0,0,0,0,0,0,0.06565,0,0.83099,0,0,0,0,0,0.00292,0,0,1.79961,0.00304,0,0,0.00431,0,0.18441,8.1025,0
"Clostridium bolteae CAG:59",0.20021,0.003,0.77383,0.01551,0,0,0,0,0,0,0,0,0,0.08807,0.0888,0,0,0,0,0.00208,0,0,0,0.01962,0,0,0.01722,0,0,0,0,0,0,0.12809,0.00283,0,0.01004,0,0,0,0,0,0,0,0,0,0,0,0,0.19045,0,0,0,0,0,0,0,0,0,0
"Methanobrevibacter smithii",0.19406,0.00173,0,0,0.51418,0.14258,0,0.30753,0,1.49843,0,0,0,0,0,1.00038,1.62505,0,0.00393,0,0.04932,0,0.10524,0,0.02082,0.1394,0,0.01093,0,0.02898,1.79607,0,0.71675,0.00022,0,0,0,0,0,0.00276,1.66274,1.01424,1.86507,0,0,0.01267,0,0,0,0,0,0,0.31543,0,0.03816,0.0549,0,0.01614,0.0856,0.46905
"Prevotella oris",0.19185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sellimonas intestinalis",0.11453,0,0,0,0,0,0,0,0.02502,0,0,0,0,0,0.02065,0,0,0,0,0.03758,0,0,0.14947,0.00973,0,0,0,0,0,0,0,0,0,0.33953,0.20018,0.00364,0,0.0014,0,0,0,0,0,0,0,0.11722,0.03272,0,0,0,0.01857,0.00277,0,0,0,0,0,0,0,0.11602
"Gemella morbillorum",0.11252,0,0.00122,0,0,0.16232,0.04239,0,0.00471,0,0,0,0.03811,0.00397,0.02099,0.01127,0,0.00738,0.00274,0,0.1952,0.02906,0,0,0.00625,0,0,0,0,0.08074,0.01857,0,0,0,0,0,0,0,0,0.83578,0.03629,0.00208,0,0.32948,0,0.00143,0,0.00098,0.0043,0,0,1.00494,0.00414,0,0,0,0,0,0.00375,0
"Butyrivibrio crossotus",0.10538,0,0,0,0,0,0,33.42406,0,0,0.00081,0,0,0.01837,0,0,0.14434,0.02326,0.07074,0,0,0,0,0,0,0,0,0,0,0.00514,0,0,30.8024,0,0,0,0,0.33668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.50682,0,0,0,0,0,0,0
"Blautia hydrogenotrophica",0.09889,0.0572,0.03565,0.03446,0,0,0,0,0,0,0,0,0,0.01188,0.0095,0,0,0,0,0.00023,0,0,0,0,0,0,0,0,0.04384,0,0,0,0,0,0,0.00116,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0.07396,0,0.1181,0,0,0,0,0,0,0,0
"Enterocloster lavalensis",0.0895,0.00754,0.03795,0.00042,0.15872,0,0,0,0.04798,0.08331,0.02547,0,0.01086,0,0.10677,0.00052,0,0,0,0,0,0.00987,0.03315,0.005,0.00969,0,0.00061,0,1.92984,0,0,0,0,0.01631,0,0,0,0,0,0,0,0,0.00044,0,0,0.00319,0,0,0.00045,0,0,0,0,0,0.00183,0,0,0,0.01247,0
"Slackia exigua",0.08493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34671,0.00378,0,0.00388,0,0,0,0,0,0,0,0,0.00959,0,0,0,0,0,0,0,0
"Christensenella minuta",0.05289,0,0,0,0.01101,0,0,0,0,0.01173,0,0,0,0,0,0,0,0,0,0,0,0,0.04831,0.01033,0.00295,0.00988,0.01968,0,0,0,0,0,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0.00096,0.00495,0,0,0,0,0,0.00507,0,0,0,0,0,0.0933,0
"Streptococcus oralis",0.04945,0,0.01933,0,0,0.00274,0.08713,0.00226,0.01177,0.00052,0,0,0,0,0.01589,0,0,0,0,0,0,0,0,0,0.00075,0,0,0.01489,0,0,0.03939,0.00362,0,0,0,0,0.00155,0.00879,0.01576,0,0.11042,0.02842,0.00963,0.02919,0,0.06181,0.005,0.01217,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcus stomatis",0.04884,0,0,0,0,0.04422,0.05435,0,0,0,0,0,0,0,0.00169,0,0,0.04765,0,0,0.26202,0.03164,0,0,0,0.01566,0,0,0,0.01454,0,0,0,0,0,0,0,0.00525,0.01147,0.03927,0.04355,0,0.03649,0.15682,0,0,0,0,0.00588,0,0,1.86761,0,0,0,0,0,0,0.00888,0
"Lachnospira pectinoschiza",0.04682,0,0.98544,2.24247,0.89708,0,0,0.13387,0,2.13933,0,0.00784,0,4.71351,0.00041,2.97345,0,1.63395,6.3933,0.27674,0.69256,6.99266,0,2.44863,0,2.05375,0.883,2.07179,0,0.07343,0.01662,17.6943,0.54381,0.00159,4.7908,0,0.28905,0.00424,0,0.19061,0,0.08673,0,0,1.13527,0,0.14469,3.7613,0.15878,0.91035,0,0,0.00385,3.21836,0,0.20883,0.00054,0.20843,0.10125,0.03278
"[Clostridium] scindens",0.04574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177,0,0.00033,0,0,0,0.01408,0,0,0,0,0.00775,0,0,0,0,0,0.00423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07782,0,0.00039,0
"Anaerococcus vaginalis",0.03356,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172,0.00207,0,0,0.00255,0,0,0,0,0,0,0,0,0,0,0,0.02797,0,0,0,0,0,0,0,0,0,0,0.31384,0,0,0,0,0,0,0,0
"Pseudoflavonifractor sp. An184",0.03161,0.00652,0,0,0,0,0.15401,0,0.11135,0.01365,0,0,0,0,0,0,0,0,0,0.04779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173,0.00922,0.00372,0,0,0,0,0.03674,0,0,0,0,0,0,0.00129,0.18977,0,0,0.01045,0,0,0,0,0.00405,0.01923,0.12852
"Ruminococcaceae bacterium D16",0.02337,0.00844,0.00118,0,0,0,0.02959,0,0.02078,0,0,0,0,0,0,0.09205,0,0.00015,0.00369,0.00159,0,0.05061,0,0.00932,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0.00389,0,0,0,0.02217,0.07555,0,0.0299,0.00157,0,0.00338,0.00736,0,0,0,0,0,0.00333,0.23606
"Enterocloster citroniae",0.02039,0,0.0192,0.03481,0.01016,0,0.00138,0,0.00072,0.03312,0.03317,0.05633,0.00632,0.01805,0.19684,0,0.01567,0,0,0,0,0.0207,0.02941,0.03703,0.0419,0,0.01489,0,0.09266,0,0,0.02567,0,0.0481,0.0044,7e-04,0.02471,0.04776,0.042,0.00133,0,0,0.03792,0,0,0,0.00155,0,0.00389,0.00038,0.00872,0.05031,0,0,0,0,0.08954,0,0,0
"Hungatella hathewayi",0.01857,0.07102,0.0309,0.17988,0.0308,0,0,0,0.0027,0.00162,8e-05,0,0.00293,0.16241,0.50153,7e-04,0,0,0,0,0,0.01725,0.06342,0.00026,0.01628,0.00877,0,0,0.00174,0,4e-04,0,0,0.02105,0,0,0,0.04285,0.03402,0.26888,0.01254,0,0.05994,0,0,0.01327,0.02983,0,0.01501,0.14831,0.00272,0.02299,0,0,0,0,0,0.0176,0.0045,0.00247
"Enterocloster aldenensis",0.01719,0,0,0.00253,0.03012,0,0,0,0.00041,0.00104,0.00604,0,0,0,0.11778,0,0.00736,0,0,0,0,0,0.14558,0,0.01101,0.00399,0,0,0.00062,0,0,0,0,0.06329,0,0,0,0,0,0,0.01571,0,0,0,0,0.00567,0,0,0,0.03354,0,0,0,0,0,0,0.00367,0,0,0
"Prevotella sp. CAG:279",0.01585,0,0,0,0,0,11.50546,0,0,0,0,0,0.77444,0,0,0,0.25637,0,0,0.00392,0,0,0,0,2.8814,0,0,0,0,0,0,0,4.14562,2.73188,0,0,0,0,0,0,0.27219,0,0,0,0,0,0,0,2.99919,0,0,0,7.25247,0,0,0.98657,0,0,0,0
"Mogibacterium diversum",0.01552,0,0.0021,0,0,0.00815,0.04633,0,0.00457,0,0,0,0,0.00459,0.00675,0,0,0,0.01276,0,0,0,0,0,0,0,0,0,0.00849,0,0,0,0,0.00136,0,0,0,0.0094,0.00469,0.00475,0.00861,0.04479,0.00701,0,0,0.00844,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.00078
"[Clostridium] hylemonae",0.01454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01048,0,0,0,0,0,0,0,0,0.00849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107,0.00641,0
"Eisenbergiella tayi",0.01259,0.00932,0.00283,0.64667,0.14052,0,0,0.0048,0.03592,0.0094,0.01811,0,0,0,0,0.43286,1.77299,0,0,0,0,0,0.16142,0.00452,0.01499,0.08364,0.01873,0.01918,0.01392,0,0,0,0,0,0.01926,0,0,0.0729,0.07513,0.13621,0.05464,0,0.00117,0,0,0,0.01121,0,0.00447,3.39574,0,0.18048,0,0,0.02437,0,0,0,0.04353,0
"Bacteroides finegoldii",0.01071,0,0,0,0,0.12756,0,0,0.01393,0.14394,0,0,0,1.20705,0.00033,0,0.10041,2.04341,1.35431,0,0,0,1.19089,0.52067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06737,0,0,0.09312,0,0,0,0,0,0.15604,0,0.31065,0,0,0.70731,0.00322,0,0,0,0,0
"[Clostridium] innocuum",0.01019,0.01312,0.00691,0.76506,0,0,0,0.00028,0.01007,0.00387,0.00462,0,0,0.0019,0.61442,0.07016,0.06468,0,0,0,0,0,0,0,0,0,0,0.01079,0,0,0,0,0,0.01766,0,0,0.00672,0.00762,0.0214,0.00052,0.34023,0,0,0,0,0.01521,2e-04,0,0.00322,0.49911,0,0.11458,0,0,0,0,0,0,0.1212,0
"Roseburia sp. CAG:471",0.0101,0.00436,0,0.00115,0,0.01736,0,0.00192,0,0.00157,0,0.00073,0.00198,0.00218,0.00481,0.00731,0,0.00084,0.04929,0,0.00177,0.20137,0,0.00344,0,0,0.00057,0.00344,0.00533,0,0.08384,0.00707,0.22845,0,0.00195,0,0,0.00432,0.00042,0.02687,0,0.00353,0.01237,0.00069,0.00049,0.00031,0.00227,0.00221,0.00112,0,0.00029,0.00066,0.00926,0,4e-04,0,0,0,0,0
"Christensenella hongkongensis",0.00964,0,0,0,0,0,0,0,0.01287,0.01525,0,0,0,0.00255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0.00736,0.01991,0,0,0,0.00187,0,0,0,0,0.00468,0,0,0,0,0,0,0.00461,0
"Ruminococcus obeum CAG:39",0.00806,0,0,0,0,0,0,0,0.06787,0,0,0.33322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01471,0,0,0,0,0,0,0.00907,0.00925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces sp. oral taxon 181",0.00762,0,0,0,0,0,0,0,0,0,0,0,0,0.00454,0.00196,0,0,0,0,0.00474,0,0.00053,0,0,0,0.00283,0,0.01678,0,0,0,0.0011,0,0.00286,0,0,0,0.01761,0.02745,0,0,0.0055,0.00372,0.00184,0.00396,0.00927,0,0,0.00033,0,0,0,0,0,0,0,0,0,0,0.00059
"Harryflintia acetispora",0.00714,0.00025,0.01103,0,0,0,0.01168,0,0,0.05002,0,0,0,0,0,0.02464,0.01476,0,0,0,0,0.00239,0,0.00296,0,0,0.00124,0,0,0,0.00247,0,0,0,0,0.00179,0,0,0,0,0,0.00797,0.01542,0,0,0,0,0,0.01283,0,0,0.0013,0,0,0,0,0,0.08132,0,0.00057
"Lachnoanaerobaculum saburreum",0.00637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:58",0.00629,0.66009,1.09675,0,0.03221,0.01383,0.00177,0,0.57689,0.20807,0,0,0,0.69924,0,0.23877,0.02177,0,0.30537,0,0.07554,0.05027,0.03448,0.05545,0,0,0.52924,0.14724,0,0,0,0,0,0.79645,0,0.17109,0,0,0,0.11805,0,0.1983,0.06856,0,0,0,0,0,0,0,0.08746,0.60617,0,0.14757,0,0.16471,0,0.72585,0.65324,0.04945
"[Eubacterium] sulci",0.00559,0,0.00499,0,0,0,0.00162,0.00094,0.01011,0.00606,0,0,0,0.02104,0.00164,0.01555,0,0,0.00209,0.00046,0,0.00246,0,0,0,0,0.00336,0,0.00786,0,0,0,0.00436,0,0,0,0.0044,0.00906,0,0,0,0,0.00322,0,0,0,0,0.00347,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella sanguinis",0.00527,0,0,0,0,0.01255,0.01786,0.00074,0.01621,0.00309,0,0,0.0032,0.0011,0.0111,0.04984,0,0,0.02188,0,0.00335,8e-04,0,0,0,0,0,0.00969,0.01164,0,0,0.00168,0.00196,0.00948,0.00287,0,0.00482,0.00496,0.04414,0.00198,0,0.01069,0,0.05717,0,0.00869,0,0.01337,0.00106,0,0,0.01022,0,0,0,0,0,0,0,0.00092
"Blautia argi",0.00518,0.02299,0,0,0,0,0,0,0,0.00895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus mitis",0.00412,0,0,0,0,0.00218,0.03002,0.00116,0.01233,0.00136,0,0,0,0.00437,0.00521,0.01065,0,0,0.00097,0.00823,0,0.00579,0,0.00057,0,0,0.00304,0.16505,0.02006,0,0.00789,0.01106,0.00239,0,0.00429,0,0.00443,0.00604,0.05042,0.00122,0,0.00742,0.00493,0.0518,0,0.03112,0,0.05172,0,0,0,0.00044,0,0,0,0,0,0,0,0.00197
"Bacteroides intestinalis",0.00398,3.24589,0,0,0,0,0,0,0.37808,0,0,0,0,0,0,0.25583,0,0.01865,0,0,0,0,0,0.08305,1.69573,3.5572,0,0.0502,0,0,0.52911,0,0,0,0,0,0,0,0,0.07956,0,0.35073,1.40645,0,0,0,0,0,0,0,1.11453,0,0,0,0,0.14829,0,0,0,0
"Schaalia odontolytica",0.00298,0,0.00171,0,0,0,0.01392,0.00136,0.00177,0,0,0,0,0,0.00097,0.00421,0,0,0.00311,0.00102,0,0,0,0,0,0,0,0.00338,0.0014,0,0,0.00042,0.00127,0.03673,0,0,0,0.02634,0.07892,0.00013,0.00587,0.01565,0.01234,0.00304,0.00434,0.00996,0.00204,0.00551,0.00374,0,0,0,0.00206,0.00109,0,0.12439,0,0.01241,0.00502,0.00046
"Leptotrichia hofstadii",0.00244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella intestinalis",0.0023,0.00142,0.00395,0.00121,0.00298,0.00318,0.05707,0.00517,0.0021,0.00315,0,0,0.00091,0.00711,0,0.006,0.00117,0.02776,0.00527,0.00836,0,0,0.00166,0.00078,0.00836,0.00225,0.00142,0.004,0,0.00177,0.0148,0.0013,0,0.00041,0.00428,0.00172,0.00289,0,0,0.00681,0.01706,0.01662,0.0026,0.00375,0.01205,0,0.00434,0.0092,0.00802,0,0,0,0.00356,0.00329,0,0.0262,0.00271,0.01192,0.01256,1.22168
"Paraprevotella xylaniphila",0.00222,0,0,0,0,0.0944,0,0,0,0,0,0,0,0.63594,0,0,0.00902,0.37194,0,0,0,0,0.82205,1.12021,0,0.17261,0,0.27952,0,0,0.00221,1.74342,0.37889,0,0,0,0,0,0,0,0.04497,0,0,0,0.90815,0,0.07653,0,0,0,0,0,0.06342,0.47404,0,0.08998,0,0.29111,0,0
"Lactobacillus rogosae",0.00188,0,0,0,0.00911,0,0,0.00676,0,0.02114,0,0,0,0.03633,0,0.15607,0,0.00662,0.59438,0.00925,0.01502,0,0,0.26443,0,0.05827,0,0,0,0.02502,0.01919,0.27256,0.0861,0,0.18779,0,0.00336,0,0,0,0,0.0028,0,0,0.00756,0,0.00119,0.01187,0,0.00606,0,0,0,0.00408,0,0.01484,0,0,0,0.00165
"[Clostridium] methylpentosum",0.00137,0,0,0,0,0,0,0,0,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058,0,0,0,0,0,0,0,0.01437,0,0,0.00033,0,0,0,0,0.01242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
